Data For Node Id: 49
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:6, Parent ID:1, Miner ID:4, Txns:1, Time:576.7777905059633
Block Id:82, Parent ID:6, Miner ID:46, Txns:1, Time:1571.5169565879164
Block Id:110, Parent ID:82, Miner ID:49, Txns:4, Time:2287.540832737466
Block Id:176, Parent ID:110, Miner ID:49, Txns:2, Time:2393.532695688026
Block Id:178, Parent ID:176, Miner ID:49, Txns:7, Time:2643.606740712801
Block Id:181, Parent ID:178, Miner ID:49, Txns:3, Time:5298.383021215055
Block Id:169, Parent ID:82, Miner ID:11, Txns:1, Time:6247.026093608195
Block Id:188, Parent ID:181, Miner ID:49, Txns:2, Time:6817.897311625176
