Data For Node Id: 1
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:899.916698534418
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:1028.6947189035006
Block Id:17, Parent ID:5, Miner ID:3, Txns:1, Time:8405.962951762805
Block Id:42, Parent ID:17, Miner ID:11, Txns:1, Time:9473.986761693177
Block Id:62, Parent ID:42, Miner ID:4, Txns:1, Time:11444.98875499822
Block Id:66, Parent ID:42, Miner ID:14, Txns:1, Time:11605.586721714739
Block Id:73, Parent ID:66, Miner ID:14, Txns:3, Time:11645.047271336662
Block Id:94, Parent ID:73, Miner ID:3, Txns:1, Time:14376.147569040375
Block Id:117, Parent ID:82, Miner ID:14, Txns:5, Time:14521.648492710458
Block Id:82, Parent ID:73, Miner ID:14, Txns:2, Time:14508.817296945173
Block Id:149, Parent ID:117, Miner ID:9, Txns:1, Time:14943.924418463888
Block Id:121, Parent ID:117, Miner ID:14, Txns:2, Time:15083.584684938802
Block Id:163, Parent ID:149, Miner ID:7, Txns:2, Time:18297.849119297527
Block Id:175, Parent ID:163, Miner ID:7, Txns:3, Time:18514.190807950014
Block Id:198, Parent ID:175, Miner ID:9, Txns:2, Time:21555.901319667508
Block Id:206, Parent ID:175, Miner ID:14, Txns:2, Time:21652.275044067625
Block Id:216, Parent ID:206, Miner ID:14, Txns:2, Time:21645.37562954827
Block Id:264, Parent ID:216, Miner ID:1, Txns:2, Time:22243.55556899013
Block Id:281, Parent ID:264, Miner ID:0, Txns:3, Time:23471.083251109838
Block Id:297, Parent ID:281, Miner ID:0, Txns:4, Time:26587.12020534511
Block Id:344, Parent ID:297, Miner ID:2, Txns:2, Time:26860.353935532014
Block Id:363, Parent ID:344, Miner ID:0, Txns:3, Time:29102.2297040662
Block Id:379, Parent ID:363, Miner ID:0, Txns:3, Time:29591.784267976003
Block Id:419, Parent ID:379, Miner ID:7, Txns:4, Time:29763.211277428712
Block Id:442, Parent ID:419, Miner ID:9, Txns:2, Time:31308.011474192906
Block Id:477, Parent ID:442, Miner ID:13, Txns:3, Time:32611.229157557456
Block Id:526, Parent ID:477, Miner ID:10, Txns:2, Time:32983.07712471855
Block Id:501, Parent ID:477, Miner ID:13, Txns:4, Time:33337.36917018266
Block Id:552, Parent ID:526, Miner ID:6, Txns:2, Time:42313.77289235094
Block Id:545, Parent ID:526, Miner ID:14, Txns:2, Time:42366.75954891413
Block Id:609, Parent ID:552, Miner ID:1, Txns:4, Time:46819.28185656733
Block Id:557, Parent ID:545, Miner ID:14, Txns:9, Time:46923.89454139351
Block Id:653, Parent ID:609, Miner ID:0, Txns:2, Time:51512.42767991415
Block Id:566, Parent ID:557, Miner ID:14, Txns:2, Time:51667.56785200653
Block Id:695, Parent ID:653, Miner ID:8, Txns:2, Time:52463.60066309156
Block Id:572, Parent ID:566, Miner ID:14, Txns:4, Time:52603.385071317985
Block Id:714, Parent ID:695, Miner ID:9, Txns:5, Time:54451.856386177315
Block Id:578, Parent ID:572, Miner ID:14, Txns:6, Time:54552.82827504013
Block Id:770, Parent ID:714, Miner ID:11, Txns:2, Time:54987.86286427202
Block Id:586, Parent ID:578, Miner ID:14, Txns:3, Time:55181.535515771575
Block Id:793, Parent ID:770, Miner ID:12, Txns:3, Time:55878.66053205001
Block Id:792, Parent ID:770, Miner ID:4, Txns:4, Time:55924.650478657546
Block Id:814, Parent ID:792, Miner ID:0, Txns:2, Time:56223.476951159486
Block Id:592, Parent ID:586, Miner ID:14, Txns:27, Time:56036.41362745959
Block Id:625, Parent ID:592, Miner ID:14, Txns:3, Time:56395.195796518994
Block Id:840, Parent ID:814, Miner ID:12, Txns:2, Time:66583.85256706257
Block Id:657, Parent ID:625, Miner ID:14, Txns:2, Time:66627.35469266829
Block Id:911, Parent ID:840, Miner ID:6, Txns:2, Time:67616.3978846443
Block Id:744, Parent ID:657, Miner ID:14, Txns:4, Time:67678.36769572367
Block Id:945, Parent ID:911, Miner ID:0, Txns:2, Time:73457.7235643541
Block Id:753, Parent ID:744, Miner ID:14, Txns:4, Time:73582.97106017784
Block Id:997, Parent ID:945, Miner ID:3, Txns:2, Time:74880.37611399956
Block Id:860, Parent ID:753, Miner ID:14, Txns:6, Time:75033.91218462658
Block Id:1032, Parent ID:860, Miner ID:8, Txns:2, Time:75452.4577159961
Block Id:867, Parent ID:860, Miner ID:14, Txns:3, Time:75581.93637283977
Block Id:1036, Parent ID:997, Miner ID:10, Txns:2, Time:75626.95090916812
