Data For Node Id: 10
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
<<<<<<< HEAD
Block Id:6, Parent ID:1, Miner ID:4, Txns:1, Time:1073.5206824499076
Block Id:93, Parent ID:6, Miner ID:32, Txns:2, Time:3224.410946221294
Block Id:101, Parent ID:6, Miner ID:5, Txns:2, Time:3463.571755146838
Block Id:117, Parent ID:93, Miner ID:49, Txns:2, Time:4419.914911025297
Block Id:135, Parent ID:93, Miner ID:17, Txns:1, Time:4468.991785615478
Block Id:179, Parent ID:117, Miner ID:49, Txns:2, Time:5135.147817205489
Block Id:248, Parent ID:117, Miner ID:24, Txns:1, Time:5351.758725370209
Block Id:271, Parent ID:179, Miner ID:49, Txns:4, Time:8861.006322340465
Block Id:370, Parent ID:271, Miner ID:49, Txns:2, Time:8886.235577213267
Block Id:309, Parent ID:179, Miner ID:5, Txns:1, Time:8975.487042505065
Block Id:356, Parent ID:179, Miner ID:11, Txns:1, Time:8846.239821329076
Block Id:320, Parent ID:248, Miner ID:12, Txns:1, Time:9042.591457236487
Block Id:382, Parent ID:370, Miner ID:49, Txns:3, Time:9599.264367045504
Block Id:489, Parent ID:370, Miner ID:24, Txns:2, Time:9822.548893128866
=======
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:824.3258743915445
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:905.4535476371134
Block Id:22, Parent ID:5, Miner ID:11, Txns:1, Time:7368.117169363606
Block Id:51, Parent ID:22, Miner ID:6, Txns:1, Time:8090.65643883155
Block Id:69, Parent ID:51, Miner ID:0, Txns:2, Time:12343.735432873369
Block Id:65, Parent ID:51, Miner ID:14, Txns:1, Time:12373.994667682537
Block Id:79, Parent ID:65, Miner ID:14, Txns:2, Time:15080.104087605407
Block Id:88, Parent ID:69, Miner ID:0, Txns:2, Time:15106.343466615584
Block Id:122, Parent ID:88, Miner ID:2, Txns:2, Time:16030.324251673625
Block Id:82, Parent ID:79, Miner ID:14, Txns:5, Time:16032.93860487334
Block Id:102, Parent ID:82, Miner ID:14, Txns:3, Time:16045.828623238678
Block Id:169, Parent ID:102, Miner ID:10, Txns:1, Time:17940.98009996129
Block Id:205, Parent ID:169, Miner ID:0, Txns:3, Time:22032.89531700137
Block Id:246, Parent ID:205, Miner ID:10, Txns:1, Time:22041.085731341864
Block Id:203, Parent ID:169, Miner ID:14, Txns:1, Time:22068.636785466522
Block Id:213, Parent ID:203, Miner ID:14, Txns:2, Time:22117.83742495259
Block Id:216, Parent ID:213, Miner ID:14, Txns:8, Time:22378.283608619608
Block Id:232, Parent ID:205, Miner ID:2, Txns:2, Time:22422.925989468687
Block Id:267, Parent ID:216, Miner ID:7, Txns:2, Time:24197.584207849875
Block Id:259, Parent ID:216, Miner ID:14, Txns:3, Time:24306.57733924973
Block Id:281, Parent ID:259, Miner ID:14, Txns:2, Time:26777.51339000274
Block Id:333, Parent ID:281, Miner ID:11, Txns:2, Time:29612.339908753063
Block Id:313, Parent ID:281, Miner ID:14, Txns:13, Time:29661.132195682534
Block Id:358, Parent ID:333, Miner ID:9, Txns:2, Time:30698.457508973195
Block Id:342, Parent ID:313, Miner ID:14, Txns:13, Time:30719.498848030325
Block Id:345, Parent ID:342, Miner ID:14, Txns:2, Time:31360.136329047386
Block Id:346, Parent ID:345, Miner ID:14, Txns:4, Time:31360.136329047386
Block Id:397, Parent ID:358, Miner ID:6, Txns:1, Time:31460.360235932563
Block Id:437, Parent ID:346, Miner ID:9, Txns:1, Time:34735.61753253492
Block Id:387, Parent ID:346, Miner ID:14, Txns:4, Time:34770.80207822471
Block Id:447, Parent ID:387, Miner ID:14, Txns:2, Time:34770.80207822471
Block Id:498, Parent ID:447, Miner ID:0, Txns:2, Time:37086.45118168608
Block Id:451, Parent ID:447, Miner ID:14, Txns:2, Time:37120.29340076341
Block Id:531, Parent ID:498, Miner ID:5, Txns:2, Time:41445.18969951241
Block Id:503, Parent ID:451, Miner ID:14, Txns:2, Time:41617.14132184367
Block Id:505, Parent ID:503, Miner ID:14, Txns:47, Time:41617.14132184367
Block Id:552, Parent ID:531, Miner ID:3, Txns:2, Time:41683.51372617694
Block Id:579, Parent ID:552, Miner ID:0, Txns:4, Time:43011.821885865145
Block Id:597, Parent ID:579, Miner ID:3, Txns:4, Time:44762.75149279786
Block Id:603, Parent ID:579, Miner ID:14, Txns:2, Time:44805.45949345265
Block Id:614, Parent ID:603, Miner ID:14, Txns:2, Time:46818.961014585526
Block Id:649, Parent ID:614, Miner ID:8, Txns:10, Time:48072.43426500732
Block Id:687, Parent ID:649, Miner ID:12, Txns:2, Time:53953.31421038522
Block Id:689, Parent ID:649, Miner ID:11, Txns:3, Time:53958.87654785097
Block Id:690, Parent ID:649, Miner ID:14, Txns:3, Time:53989.33097387846
Block Id:739, Parent ID:687, Miner ID:8, Txns:2, Time:55072.43529091084
Block Id:749, Parent ID:739, Miner ID:8, Txns:3, Time:55072.43529091084
Block Id:764, Parent ID:749, Miner ID:0, Txns:2, Time:59025.430627349815
Block Id:780, Parent ID:749, Miner ID:14, Txns:2, Time:59062.077488662
Block Id:810, Parent ID:764, Miner ID:7, Txns:2, Time:60627.53713793346
Block Id:823, Parent ID:764, Miner ID:8, Txns:2, Time:60809.34399684805
Block Id:864, Parent ID:810, Miner ID:10, Txns:2, Time:61376.18861483156
Block Id:857, Parent ID:810, Miner ID:14, Txns:2, Time:61695.270052297325
Block Id:893, Parent ID:864, Miner ID:13, Txns:1, Time:62309.18198950263
Block Id:910, Parent ID:893, Miner ID:8, Txns:2, Time:62365.09677120514
Block Id:953, Parent ID:910, Miner ID:5, Txns:1, Time:63726.91935258665
Block Id:979, Parent ID:953, Miner ID:14, Txns:2, Time:69460.84497432414
Block Id:969, Parent ID:953, Miner ID:6, Txns:1, Time:69525.31516927353
Block Id:985, Parent ID:979, Miner ID:14, Txns:4, Time:75679.48239204595
Block Id:1010, Parent ID:969, Miner ID:2, Txns:3, Time:75688.0213096961
Block Id:1026, Parent ID:969, Miner ID:7, Txns:2, Time:75735.9520505917
Block Id:1053, Parent ID:1026, Miner ID:11, Txns:2, Time:76087.32520837149
Block Id:992, Parent ID:985, Miner ID:14, Txns:3, Time:76146.76053577737
Block Id:1091, Parent ID:1053, Miner ID:2, Txns:2, Time:82031.84303650551
Block Id:994, Parent ID:992, Miner ID:14, Txns:5, Time:82049.4731486216
Block Id:1140, Parent ID:1091, Miner ID:1, Txns:2, Time:83152.26863769484
Block Id:1036, Parent ID:994, Miner ID:14, Txns:2, Time:83194.53268186591
Block Id:1166, Parent ID:1140, Miner ID:7, Txns:6, Time:83606.31245633552
Block Id:1044, Parent ID:1036, Miner ID:14, Txns:3, Time:83722.66030119875
Block Id:1173, Parent ID:1140, Miner ID:0, Txns:5, Time:83904.29164325759
Block Id:1192, Parent ID:1166, Miner ID:9, Txns:3, Time:84532.49775557994
Block Id:1104, Parent ID:1044, Miner ID:14, Txns:2, Time:84566.83590384606
Block Id:1223, Parent ID:1192, Miner ID:3, Txns:2, Time:85341.09771609645
