Data For Node Id: 0
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:772.0671233510774
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:951.117408154196
Block Id:23, Parent ID:5, Miner ID:2, Txns:2, Time:3318.125309812247
Block Id:47, Parent ID:23, Miner ID:9, Txns:1, Time:5256.056740188665
Block Id:60, Parent ID:47, Miner ID:0, Txns:1, Time:6485.582250731268
Block Id:63, Parent ID:47, Miner ID:14, Txns:2, Time:7148.28673403831
Block Id:78, Parent ID:60, Miner ID:11, Txns:2, Time:9245.918152084658
Block Id:110, Parent ID:78, Miner ID:7, Txns:3, Time:9662.77001831466
Block Id:71, Parent ID:63, Miner ID:14, Txns:4, Time:9816.1835402225
Block Id:135, Parent ID:110, Miner ID:0, Txns:2, Time:14438.148076696452
Block Id:142, Parent ID:110, Miner ID:14, Txns:1, Time:15146.829142480872
Block Id:174, Parent ID:135, Miner ID:5, Txns:3, Time:24809.377625675916
Block Id:149, Parent ID:142, Miner ID:14, Txns:2, Time:25202.11297691107
Block Id:215, Parent ID:174, Miner ID:13, Txns:2, Time:26390.921369878808
Block Id:151, Parent ID:149, Miner ID:14, Txns:15, Time:26530.3044798398
Block Id:241, Parent ID:215, Miner ID:8, Txns:1, Time:29042.60007105234
Block Id:177, Parent ID:151, Miner ID:14, Txns:14, Time:29352.219915522615
Block Id:247, Parent ID:215, Miner ID:6, Txns:2, Time:29426.10133860339
Block Id:294, Parent ID:241, Miner ID:7, Txns:2, Time:30270.60911035618
Block Id:306, Parent ID:294, Miner ID:7, Txns:2, Time:30275.76000682094
Block Id:182, Parent ID:177, Miner ID:14, Txns:5, Time:30616.759991788516
Block Id:190, Parent ID:182, Miner ID:14, Txns:2, Time:30663.152424806845
Block Id:329, Parent ID:306, Miner ID:9, Txns:2, Time:31362.925722916214
Block Id:308, Parent ID:306, Miner ID:7, Txns:2, Time:31430.770260896923
Block Id:197, Parent ID:190, Miner ID:14, Txns:5, Time:31647.758928470415
Block Id:342, Parent ID:306, Miner ID:10, Txns:1, Time:31705.84561278737
Block Id:359, Parent ID:329, Miner ID:2, Txns:2, Time:32096.5195222259
Block Id:205, Parent ID:197, Miner ID:14, Txns:2, Time:32217.012276527992
Block Id:378, Parent ID:359, Miner ID:7, Txns:2, Time:34058.912984437215
Block Id:231, Parent ID:205, Miner ID:14, Txns:4, Time:34405.37175701552
Block Id:430, Parent ID:378, Miner ID:10, Txns:1, Time:36830.03808256112
Block Id:238, Parent ID:231, Miner ID:14, Txns:3, Time:36994.43653240764
Block Id:463, Parent ID:430, Miner ID:1, Txns:2, Time:38267.13380414294
