Data For Node Id: 12
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:671.7317082083467
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:894.8943091229266
Block Id:27, Parent ID:5, Miner ID:5, Txns:1, Time:1707.5487672874362
Block Id:51, Parent ID:27, Miner ID:1, Txns:2, Time:3815.237883989532
Block Id:49, Parent ID:27, Miner ID:14, Txns:1, Time:4087.2251735246027
Block Id:65, Parent ID:51, Miner ID:8, Txns:1, Time:8919.123514289833
Block Id:53, Parent ID:49, Miner ID:14, Txns:2, Time:9146.032596088095
Block Id:95, Parent ID:65, Miner ID:13, Txns:2, Time:14510.599747494362
Block Id:80, Parent ID:53, Miner ID:14, Txns:2, Time:14545.47363196296
Block Id:144, Parent ID:95, Miner ID:12, Txns:2, Time:15719.185884185079
Block Id:106, Parent ID:80, Miner ID:14, Txns:2, Time:16142.054947786468
Block Id:156, Parent ID:144, Miner ID:0, Txns:2, Time:16357.46159879994
Block Id:110, Parent ID:106, Miner ID:14, Txns:1, Time:16672.475218141502
Block Id:173, Parent ID:156, Miner ID:1, Txns:3, Time:20969.602253674035
Block Id:116, Parent ID:110, Miner ID:14, Txns:2, Time:21282.06547482435
Block Id:216, Parent ID:173, Miner ID:4, Txns:2, Time:24247.026350252865
Block Id:119, Parent ID:116, Miner ID:14, Txns:3, Time:24545.164158297423
Block Id:244, Parent ID:216, Miner ID:8, Txns:2, Time:26410.80980934031
Block Id:124, Parent ID:119, Miner ID:14, Txns:4, Time:26635.570229605924
Block Id:288, Parent ID:244, Miner ID:6, Txns:2, Time:27564.67905802307
Block Id:268, Parent ID:244, Miner ID:4, Txns:2, Time:27747.65726378959
Block Id:308, Parent ID:288, Miner ID:11, Txns:2, Time:33714.03436769247
Block Id:304, Parent ID:288, Miner ID:14, Txns:2, Time:34018.49973101873
Block Id:353, Parent ID:308, Miner ID:10, Txns:1, Time:36886.04301820134
Block Id:368, Parent ID:353, Miner ID:2, Txns:8, Time:38483.56599180497
Block Id:422, Parent ID:368, Miner ID:8, Txns:2, Time:38961.25990502418
Block Id:419, Parent ID:368, Miner ID:5, Txns:1, Time:39206.180824386116
Block Id:450, Parent ID:419, Miner ID:5, Txns:2, Time:39613.83310052561
Block Id:448, Parent ID:422, Miner ID:14, Txns:1, Time:39992.014079849374
Block Id:476, Parent ID:450, Miner ID:3, Txns:3, Time:41441.692699697756
Block Id:470, Parent ID:448, Miner ID:14, Txns:2, Time:41662.609592415334
Block Id:519, Parent ID:476, Miner ID:6, Txns:1, Time:42067.8462834155
Block Id:542, Parent ID:519, Miner ID:12, Txns:2, Time:42139.19685719426
Block Id:495, Parent ID:470, Miner ID:14, Txns:5, Time:42198.92689813966
Block Id:580, Parent ID:542, Miner ID:10, Txns:2, Time:48456.238016006035
Block Id:572, Parent ID:542, Miner ID:14, Txns:1, Time:48672.68553925876
Block Id:606, Parent ID:580, Miner ID:7, Txns:2, Time:54769.238353326466
Block Id:588, Parent ID:572, Miner ID:14, Txns:2, Time:55108.41639465104
Block Id:669, Parent ID:606, Miner ID:8, Txns:3, Time:61673.23781801856
Block Id:592, Parent ID:588, Miner ID:14, Txns:4, Time:61844.08357824455
Block Id:708, Parent ID:669, Miner ID:13, Txns:2, Time:62492.293217634164
Block Id:601, Parent ID:592, Miner ID:14, Txns:8, Time:62517.964103460945
Block Id:750, Parent ID:708, Miner ID:11, Txns:2, Time:62953.974705086854
Block Id:771, Parent ID:750, Miner ID:12, Txns:2, Time:63151.23523057042
Block Id:628, Parent ID:601, Miner ID:14, Txns:2, Time:63277.06281188539
Block Id:638, Parent ID:628, Miner ID:14, Txns:2, Time:63543.983824831135
Block Id:785, Parent ID:771, Miner ID:9, Txns:4, Time:66010.36997537638
Block Id:641, Parent ID:638, Miner ID:14, Txns:6, Time:66311.35547210976
Block Id:812, Parent ID:785, Miner ID:9, Txns:2, Time:67693.4125802422
Block Id:826, Parent ID:785, Miner ID:11, Txns:2, Time:67720.83718707184
Block Id:643, Parent ID:641, Miner ID:14, Txns:5, Time:67982.0559375618
Block Id:859, Parent ID:812, Miner ID:3, Txns:3, Time:70307.55992364617
Block Id:648, Parent ID:643, Miner ID:14, Txns:4, Time:70522.54911105217
Block Id:898, Parent ID:859, Miner ID:5, Txns:2, Time:77341.04998180586
Block Id:679, Parent ID:648, Miner ID:14, Txns:6, Time:77768.7147962267
Block Id:920, Parent ID:898, Miner ID:12, Txns:2, Time:78114.59550173803
Block Id:685, Parent ID:679, Miner ID:14, Txns:4, Time:78487.77303762251
Block Id:951, Parent ID:920, Miner ID:8, Txns:6, Time:81961.06514220018
Block Id:691, Parent ID:685, Miner ID:14, Txns:8, Time:82158.15096384943
Block Id:1012, Parent ID:951, Miner ID:1, Txns:2, Time:85267.64361417585
Block Id:997, Parent ID:951, Miner ID:3, Txns:3, Time:85410.5892042203
Block Id:756, Parent ID:691, Miner ID:14, Txns:2, Time:85577.31794703465
Block Id:1044, Parent ID:1012, Miner ID:5, Txns:2, Time:85616.9687228541
Block Id:874, Parent ID:756, Miner ID:14, Txns:2, Time:86001.11906276527
Block Id:1064, Parent ID:1044, Miner ID:2, Txns:2, Time:88347.36980174285
Block Id:881, Parent ID:874, Miner ID:14, Txns:4, Time:88480.41503394101
Block Id:1107, Parent ID:881, Miner ID:4, Txns:2, Time:93993.472713713
Block Id:979, Parent ID:881, Miner ID:14, Txns:3, Time:94334.50033198409
Block Id:1130, Parent ID:1107, Miner ID:4, Txns:3, Time:95286.77377335221
Block Id:1141, Parent ID:1107, Miner ID:11, Txns:2, Time:95431.85747055948
Block Id:1178, Parent ID:1141, Miner ID:7, Txns:4, Time:95500.4799668723
Block Id:1189, Parent ID:1178, Miner ID:11, Txns:2, Time:98266.28258442656
