Data For Node Id: 8
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:835.3289398896201
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:866.2813144733466
Block Id:23, Parent ID:5, Miner ID:2, Txns:2, Time:3376.9186715512396
Block Id:47, Parent ID:23, Miner ID:9, Txns:1, Time:5339.516447146847
Block Id:60, Parent ID:47, Miner ID:0, Txns:1, Time:6894.30645920179
Block Id:63, Parent ID:47, Miner ID:14, Txns:2, Time:7035.961880232841
Block Id:78, Parent ID:60, Miner ID:11, Txns:2, Time:9521.289297543393
Block Id:71, Parent ID:63, Miner ID:14, Txns:4, Time:9709.641730502055
Block Id:110, Parent ID:78, Miner ID:7, Txns:3, Time:9803.125646450057
Block Id:135, Parent ID:110, Miner ID:0, Txns:2, Time:14847.24840310205
Block Id:142, Parent ID:110, Miner ID:14, Txns:1, Time:15031.736871724497
Block Id:174, Parent ID:135, Miner ID:5, Txns:3, Time:24873.448169744697
Block Id:149, Parent ID:142, Miner ID:14, Txns:2, Time:25080.03874206474
Block Id:215, Parent ID:174, Miner ID:13, Txns:2, Time:26265.4302291218
Block Id:151, Parent ID:149, Miner ID:14, Txns:15, Time:26401.51708541298
Block Id:241, Parent ID:215, Miner ID:8, Txns:1, Time:28877.706808308496
Block Id:177, Parent ID:151, Miner ID:14, Txns:14, Time:29241.48679737918
Block Id:247, Parent ID:215, Miner ID:6, Txns:2, Time:29313.526363857738
Block Id:294, Parent ID:241, Miner ID:7, Txns:2, Time:30356.800302514897
Block Id:306, Parent ID:294, Miner ID:7, Txns:2, Time:30436.966650047252
Block Id:182, Parent ID:177, Miner ID:14, Txns:5, Time:30495.331843792577
Block Id:190, Parent ID:182, Miner ID:14, Txns:2, Time:30533.97206950595
Block Id:329, Parent ID:306, Miner ID:9, Txns:2, Time:31430.52179187573
Block Id:308, Parent ID:306, Miner ID:7, Txns:2, Time:31503.741465271425
Block Id:197, Parent ID:190, Miner ID:14, Txns:5, Time:31519.4070892407
Block Id:342, Parent ID:306, Miner ID:10, Txns:1, Time:31759.755604473794
Block Id:205, Parent ID:197, Miner ID:14, Txns:2, Time:32075.319247002943
Block Id:359, Parent ID:329, Miner ID:2, Txns:2, Time:32157.044787657574
Block Id:378, Parent ID:359, Miner ID:7, Txns:2, Time:34153.041492173164
Block Id:231, Parent ID:205, Miner ID:14, Txns:4, Time:34268.31366683925
Block Id:238, Parent ID:231, Miner ID:14, Txns:3, Time:36889.11479732232
Block Id:430, Parent ID:378, Miner ID:10, Txns:1, Time:36912.71326700219
Block Id:463, Parent ID:430, Miner ID:1, Txns:2, Time:38245.993833873945
Block Id:270, Parent ID:238, Miner ID:14, Txns:2, Time:38408.21840558626
Block Id:298, Parent ID:270, Miner ID:14, Txns:3, Time:39671.87317003932
Block Id:500, Parent ID:463, Miner ID:3, Txns:2, Time:39680.44884697992
Block Id:530, Parent ID:500, Miner ID:11, Txns:2, Time:40553.55189849281
Block Id:347, Parent ID:298, Miner ID:14, Txns:5, Time:40702.92851808892
Block Id:556, Parent ID:530, Miner ID:11, Txns:2, Time:40975.091461985925
Block Id:402, Parent ID:347, Miner ID:14, Txns:6, Time:41061.01407874367
Block Id:586, Parent ID:556, Miner ID:0, Txns:3, Time:41563.61265653756
Block Id:405, Parent ID:402, Miner ID:14, Txns:2, Time:41708.216034090074
Block Id:628, Parent ID:586, Miner ID:5, Txns:3, Time:43035.97286070013
Block Id:437, Parent ID:405, Miner ID:14, Txns:4, Time:43171.86886539221
Block Id:613, Parent ID:586, Miner ID:11, Txns:2, Time:43254.314123273536
Block Id:654, Parent ID:628, Miner ID:8, Txns:1, Time:46851.94762355501
Block Id:440, Parent ID:437, Miner ID:14, Txns:17, Time:47255.91840084232
Block Id:693, Parent ID:654, Miner ID:7, Txns:2, Time:47995.06460441156
Block Id:518, Parent ID:440, Miner ID:14, Txns:2, Time:48117.72416242319
Block Id:727, Parent ID:693, Miner ID:10, Txns:2, Time:49423.534499827205
Block Id:551, Parent ID:518, Miner ID:14, Txns:2, Time:49434.09181200227
Block Id:746, Parent ID:727, Miner ID:4, Txns:4, Time:49544.175195815464
Block Id:713, Parent ID:693, Miner ID:0, Txns:3, Time:49647.80607597935
