Data For Node Id: 2
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:662.2366896309458
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:881.4944161068213
Block Id:27, Parent ID:5, Miner ID:5, Txns:1, Time:1841.1114497021354
Block Id:51, Parent ID:27, Miner ID:1, Txns:2, Time:3867.6937006370326
Block Id:49, Parent ID:27, Miner ID:14, Txns:1, Time:4096.231461962015
Block Id:65, Parent ID:51, Miner ID:8, Txns:1, Time:8903.92890088702
Block Id:53, Parent ID:49, Miner ID:14, Txns:2, Time:9123.22243599359
Block Id:95, Parent ID:65, Miner ID:13, Txns:2, Time:14555.395350821178
Block Id:80, Parent ID:53, Miner ID:14, Txns:2, Time:14555.733015034302
Block Id:144, Parent ID:95, Miner ID:12, Txns:2, Time:15946.31909198344
Block Id:106, Parent ID:80, Miner ID:14, Txns:2, Time:16170.883406433932
Block Id:156, Parent ID:144, Miner ID:0, Txns:2, Time:16399.06936120499
Block Id:110, Parent ID:106, Miner ID:14, Txns:1, Time:16684.462626225828
Block Id:173, Parent ID:156, Miner ID:1, Txns:3, Time:21043.28517947185
Block Id:116, Parent ID:110, Miner ID:14, Txns:2, Time:21260.882514666242
Block Id:216, Parent ID:173, Miner ID:4, Txns:2, Time:24214.152546610483
Block Id:119, Parent ID:116, Miner ID:14, Txns:3, Time:24522.228982164772
Block Id:244, Parent ID:216, Miner ID:8, Txns:2, Time:26388.820145721882
Block Id:124, Parent ID:119, Miner ID:14, Txns:4, Time:26636.998825096834
Block Id:288, Parent ID:244, Miner ID:6, Txns:2, Time:27499.072176839603
Block Id:268, Parent ID:244, Miner ID:4, Txns:2, Time:27710.20491362721
Block Id:308, Parent ID:288, Miner ID:11, Txns:2, Time:33719.262086700495
Block Id:304, Parent ID:288, Miner ID:14, Txns:2, Time:33994.81641121786
Block Id:353, Parent ID:308, Miner ID:10, Txns:1, Time:36867.16656191881
Block Id:368, Parent ID:353, Miner ID:2, Txns:8, Time:38276.48064880283
Block Id:422, Parent ID:368, Miner ID:8, Txns:2, Time:38948.74616847679
Block Id:419, Parent ID:368, Miner ID:5, Txns:1, Time:39373.24225478971
Block Id:450, Parent ID:419, Miner ID:5, Txns:2, Time:39793.45265249197
Block Id:448, Parent ID:422, Miner ID:14, Txns:1, Time:39987.72133126455
Block Id:476, Parent ID:450, Miner ID:3, Txns:3, Time:41478.6501469979
Block Id:470, Parent ID:448, Miner ID:14, Txns:2, Time:41647.578963440945
