Data For Node Id: 4
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:873.5056123083054
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:885.131862876982
Block Id:27, Parent ID:5, Miner ID:5, Txns:1, Time:1924.708777176342
Block Id:51, Parent ID:27, Miner ID:1, Txns:2, Time:3918.9869954039777
Block Id:49, Parent ID:27, Miner ID:14, Txns:1, Time:4068.4554665197475
Block Id:65, Parent ID:51, Miner ID:8, Txns:1, Time:8756.75292743363
Block Id:53, Parent ID:49, Miner ID:14, Txns:2, Time:9147.25020334596
Block Id:95, Parent ID:65, Miner ID:13, Txns:2, Time:14353.74012380838
Block Id:80, Parent ID:53, Miner ID:14, Txns:2, Time:14590.492411509009
Block Id:144, Parent ID:95, Miner ID:12, Txns:2, Time:15926.27104614916
Block Id:106, Parent ID:80, Miner ID:14, Txns:2, Time:16135.980189905862
Block Id:156, Parent ID:144, Miner ID:0, Txns:2, Time:16270.798802767678
Block Id:110, Parent ID:106, Miner ID:14, Txns:1, Time:16660.313307072673
Block Id:173, Parent ID:156, Miner ID:1, Txns:3, Time:21116.530687657076
Block Id:116, Parent ID:110, Miner ID:14, Txns:2, Time:21279.71075983789
Block Id:216, Parent ID:173, Miner ID:4, Txns:2, Time:24081.729339721212
Block Id:119, Parent ID:116, Miner ID:14, Txns:3, Time:24543.430363745003
Block Id:244, Parent ID:216, Miner ID:8, Txns:2, Time:26248.18928888081
Block Id:124, Parent ID:119, Miner ID:14, Txns:4, Time:26696.189375053767
Block Id:268, Parent ID:244, Miner ID:4, Txns:2, Time:27583.621622955554
Block Id:288, Parent ID:244, Miner ID:6, Txns:2, Time:27605.264965118247
Block Id:308, Parent ID:288, Miner ID:11, Txns:2, Time:33698.71892569731
Block Id:304, Parent ID:288, Miner ID:14, Txns:2, Time:34059.91828317691
Block Id:353, Parent ID:308, Miner ID:10, Txns:1, Time:36992.921483567756
Block Id:368, Parent ID:353, Miner ID:2, Txns:8, Time:38693.92625764872
Block Id:422, Parent ID:368, Miner ID:8, Txns:2, Time:38799.29463248301
Block Id:419, Parent ID:368, Miner ID:5, Txns:1, Time:39396.41053139144
Block Id:450, Parent ID:419, Miner ID:5, Txns:2, Time:39818.5954284614
Block Id:448, Parent ID:422, Miner ID:14, Txns:1, Time:39955.859994569946
Block Id:470, Parent ID:448, Miner ID:14, Txns:2, Time:41618.35454237262
Block Id:476, Parent ID:450, Miner ID:3, Txns:3, Time:41653.02680978988
Block Id:519, Parent ID:476, Miner ID:6, Txns:1, Time:42039.85213436149
Block Id:495, Parent ID:470, Miner ID:14, Txns:5, Time:42219.20432964538
Block Id:542, Parent ID:519, Miner ID:12, Txns:2, Time:42337.08731190339
Block Id:580, Parent ID:542, Miner ID:10, Txns:2, Time:48544.19911346961
Block Id:572, Parent ID:542, Miner ID:14, Txns:1, Time:48712.22440737897
Block Id:606, Parent ID:580, Miner ID:7, Txns:2, Time:54751.93013812619
Block Id:588, Parent ID:572, Miner ID:14, Txns:2, Time:55129.68065457998
Block Id:669, Parent ID:606, Miner ID:8, Txns:3, Time:61506.77043157046
Block Id:592, Parent ID:588, Miner ID:14, Txns:4, Time:61797.316810167715
Block Id:708, Parent ID:669, Miner ID:13, Txns:2, Time:62407.69627150825
Block Id:601, Parent ID:592, Miner ID:14, Txns:8, Time:62505.37717331788
Block Id:750, Parent ID:708, Miner ID:11, Txns:2, Time:62977.03735610966
Block Id:628, Parent ID:601, Miner ID:14, Txns:2, Time:63270.98813793094
Block Id:771, Parent ID:750, Miner ID:12, Txns:2, Time:63381.5816861073
Block Id:638, Parent ID:628, Miner ID:14, Txns:2, Time:63533.349610305806
Block Id:785, Parent ID:771, Miner ID:9, Txns:4, Time:66138.78741685781
Block Id:641, Parent ID:638, Miner ID:14, Txns:6, Time:66277.89708723297
Block Id:826, Parent ID:785, Miner ID:11, Txns:2, Time:67721.54426523385
Block Id:812, Parent ID:785, Miner ID:9, Txns:2, Time:67822.59559346177
Block Id:643, Parent ID:641, Miner ID:14, Txns:5, Time:67948.80501628073
Block Id:648, Parent ID:643, Miner ID:14, Txns:4, Time:70493.79572642787
Block Id:859, Parent ID:812, Miner ID:3, Txns:3, Time:70517.42261158698
Block Id:898, Parent ID:859, Miner ID:5, Txns:2, Time:77629.6010694906
Block Id:679, Parent ID:648, Miner ID:14, Txns:6, Time:77766.6031783767
Block Id:920, Parent ID:898, Miner ID:12, Txns:2, Time:78311.13072437789
Block Id:685, Parent ID:679, Miner ID:14, Txns:4, Time:78519.90549431929
Block Id:951, Parent ID:920, Miner ID:8, Txns:6, Time:81792.8372228592
Block Id:691, Parent ID:685, Miner ID:14, Txns:8, Time:82138.10294108967
Block Id:1012, Parent ID:951, Miner ID:1, Txns:2, Time:85385.15971626446
Block Id:756, Parent ID:691, Miner ID:14, Txns:2, Time:85562.17924128781
Block Id:997, Parent ID:951, Miner ID:3, Txns:3, Time:85603.16161186974
Block Id:1044, Parent ID:1012, Miner ID:5, Txns:2, Time:85800.80535601705
Block Id:874, Parent ID:756, Miner ID:14, Txns:2, Time:86009.4272573078
Block Id:881, Parent ID:874, Miner ID:14, Txns:4, Time:88490.39629919578
Block Id:1064, Parent ID:1044, Miner ID:2, Txns:2, Time:88541.89286750091
Block Id:1107, Parent ID:881, Miner ID:4, Txns:2, Time:93826.95268569852
Block Id:979, Parent ID:881, Miner ID:14, Txns:3, Time:94318.70519581165
Block Id:1130, Parent ID:1107, Miner ID:4, Txns:3, Time:95123.55288336829
Block Id:1141, Parent ID:1107, Miner ID:11, Txns:2, Time:95432.34571532503
Block Id:1178, Parent ID:1141, Miner ID:7, Txns:4, Time:95505.37063363555
Block Id:1189, Parent ID:1178, Miner ID:11, Txns:2, Time:98253.98632575329
