Data For Node Id: 1
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:731.3121552971577
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:961.1537375834732
Block Id:30, Parent ID:5, Miner ID:9, Txns:1, Time:1583.2236018937956
Block Id:43, Parent ID:30, Miner ID:8, Txns:1, Time:3274.748735602416
Block Id:65, Parent ID:43, Miner ID:7, Txns:1, Time:3964.3002925755713
Block Id:64, Parent ID:43, Miner ID:14, Txns:1, Time:4481.813419182343
Block Id:90, Parent ID:65, Miner ID:5, Txns:1, Time:5721.959905203373
Block Id:70, Parent ID:64, Miner ID:14, Txns:2, Time:6016.954899343446
Block Id:110, Parent ID:90, Miner ID:8, Txns:1, Time:11062.518490151662
Block Id:153, Parent ID:110, Miner ID:1, Txns:1, Time:11204.720023568061
Block Id:95, Parent ID:70, Miner ID:14, Txns:2, Time:11294.797670439239
Block Id:124, Parent ID:95, Miner ID:14, Txns:3, Time:11683.890687050063
Block Id:168, Parent ID:153, Miner ID:4, Txns:2, Time:14832.100017030862
Block Id:128, Parent ID:124, Miner ID:14, Txns:4, Time:15073.181801308428
Block Id:197, Parent ID:168, Miner ID:7, Txns:2, Time:15325.964678789875
Block Id:200, Parent ID:168, Miner ID:10, Txns:1, Time:15640.246404766027
Block Id:129, Parent ID:128, Miner ID:14, Txns:3, Time:15804.148226964908
Block Id:217, Parent ID:197, Miner ID:8, Txns:1, Time:16325.018847265577
Block Id:133, Parent ID:129, Miner ID:14, Txns:2, Time:16548.363005601
Block Id:233, Parent ID:217, Miner ID:11, Txns:2, Time:21616.856224483123
Block Id:135, Parent ID:133, Miner ID:14, Txns:3, Time:22118.675324652428
Block Id:266, Parent ID:233, Miner ID:13, Txns:3, Time:23998.347531169587
Block Id:175, Parent ID:135, Miner ID:14, Txns:3, Time:24223.496067105865
Block Id:284, Parent ID:266, Miner ID:1, Txns:3, Time:24955.160178281207
Block Id:176, Parent ID:175, Miner ID:14, Txns:3, Time:25427.71826524571
Block Id:330, Parent ID:284, Miner ID:8, Txns:2, Time:27057.242583916115
Block Id:313, Parent ID:176, Miner ID:14, Txns:2, Time:27200.6968218513
Block Id:349, Parent ID:330, Miner ID:4, Txns:6, Time:27739.70877830798
Block Id:340, Parent ID:313, Miner ID:14, Txns:2, Time:28098.308317478495
Block Id:396, Parent ID:349, Miner ID:5, Txns:3, Time:32738.253964503714
Block Id:417, Parent ID:396, Miner ID:5, Txns:3, Time:32777.88583714848
Block Id:347, Parent ID:340, Miner ID:14, Txns:2, Time:32987.88883960915
Block Id:375, Parent ID:347, Miner ID:14, Txns:3, Time:33026.19138119127
Block Id:436, Parent ID:417, Miner ID:6, Txns:2, Time:36953.134490907425
Block Id:448, Parent ID:417, Miner ID:11, Txns:1, Time:37239.54717301961
Block Id:492, Parent ID:436, Miner ID:0, Txns:1, Time:37671.92829621769
Block Id:504, Parent ID:492, Miner ID:1, Txns:6, Time:38112.464565411334
Block Id:537, Parent ID:504, Miner ID:12, Txns:4, Time:39411.57115802305
Block Id:587, Parent ID:537, Miner ID:1, Txns:2, Time:46242.33374729588
Block Id:583, Parent ID:537, Miner ID:14, Txns:2, Time:46762.640455421
Block Id:611, Parent ID:587, Miner ID:1, Txns:2, Time:48275.13200611328
Block Id:596, Parent ID:583, Miner ID:14, Txns:2, Time:48765.54711983651
Block Id:660, Parent ID:611, Miner ID:7, Txns:2, Time:50484.360630067764
Block Id:672, Parent ID:611, Miner ID:4, Txns:2, Time:50744.53335307617
Block Id:706, Parent ID:660, Miner ID:12, Txns:2, Time:50913.76065750452
Block Id:605, Parent ID:596, Miner ID:14, Txns:2, Time:50985.22243445372
Block Id:647, Parent ID:605, Miner ID:14, Txns:3, Time:51130.83029122682
Block Id:729, Parent ID:706, Miner ID:2, Txns:2, Time:57757.47307063035
Block Id:648, Parent ID:647, Miner ID:14, Txns:35, Time:57930.05607160518
Block Id:731, Parent ID:706, Miner ID:5, Txns:1, Time:58123.2579446795
Block Id:784, Parent ID:729, Miner ID:10, Txns:2, Time:58195.24114771753
