Data For Node Id: 13
Block Id:1, Parent ID:None, Miner ID:None, Txns:0, Time:0
Block Id:5, Parent ID:1, Miner ID:3, Txns:1, Time:760.7767802567223
Block Id:16, Parent ID:1, Miner ID:14, Txns:1, Time:876.1165787376844
Block Id:27, Parent ID:5, Miner ID:5, Txns:1, Time:1805.0032954202347
Block Id:51, Parent ID:27, Miner ID:1, Txns:2, Time:3790.2705045302882
Block Id:49, Parent ID:27, Miner ID:14, Txns:1, Time:4059.919328724206
Block Id:65, Parent ID:51, Miner ID:8, Txns:1, Time:8920.892190733346
Block Id:53, Parent ID:49, Miner ID:14, Txns:2, Time:9204.001620045381
Block Id:95, Parent ID:65, Miner ID:13, Txns:2, Time:14226.82636550082
Block Id:80, Parent ID:53, Miner ID:14, Txns:2, Time:14549.610820375854
Block Id:144, Parent ID:95, Miner ID:12, Txns:2, Time:15832.254592665679
Block Id:106, Parent ID:80, Miner ID:14, Txns:2, Time:16136.129813490536
Block Id:156, Parent ID:144, Miner ID:0, Txns:2, Time:16330.491702987909
Block Id:110, Parent ID:106, Miner ID:14, Txns:1, Time:16641.127817875524
Block Id:173, Parent ID:156, Miner ID:1, Txns:3, Time:20969.002777512876
Block Id:116, Parent ID:110, Miner ID:14, Txns:2, Time:21298.88763587637
Block Id:216, Parent ID:173, Miner ID:4, Txns:2, Time:24340.869283152715
Block Id:119, Parent ID:116, Miner ID:14, Txns:3, Time:24512.784459198367
Block Id:244, Parent ID:216, Miner ID:8, Txns:2, Time:26427.622300391326
Block Id:124, Parent ID:119, Miner ID:14, Txns:4, Time:26605.058802854644
Block Id:288, Parent ID:244, Miner ID:6, Txns:2, Time:27428.889074939223
Block Id:268, Parent ID:244, Miner ID:4, Txns:2, Time:27846.166334714926
Block Id:308, Parent ID:288, Miner ID:11, Txns:2, Time:33720.649282429586
Block Id:304, Parent ID:288, Miner ID:14, Txns:2, Time:33985.495618735964
Block Id:353, Parent ID:308, Miner ID:10, Txns:1, Time:37030.21835258942
Block Id:368, Parent ID:353, Miner ID:2, Txns:8, Time:38545.60705929106
Block Id:422, Parent ID:368, Miner ID:8, Txns:2, Time:38973.358264688526
Block Id:419, Parent ID:368, Miner ID:5, Txns:1, Time:39278.41383537652
Block Id:450, Parent ID:419, Miner ID:5, Txns:2, Time:39698.17824259924
Block Id:448, Parent ID:422, Miner ID:14, Txns:1, Time:40030.57032093415
Block Id:476, Parent ID:450, Miner ID:3, Txns:3, Time:41539.300554363246
Block Id:470, Parent ID:448, Miner ID:14, Txns:2, Time:41627.860469255014
Block Id:519, Parent ID:476, Miner ID:6, Txns:1, Time:41877.02417787557
Block Id:542, Parent ID:519, Miner ID:12, Txns:2, Time:42214.20682060532
Block Id:495, Parent ID:470, Miner ID:14, Txns:5, Time:42225.37582586553
